Name,Data Sessione,Giocatori Coinvolti
Il rapimento di Tholsthon,"March 26, 2023","Bohr Ra, Durso, Mortimer"
I progetti della nave,"June 4, 2023","Hartley, Kit, Sabaku no Darude"
Il neonato incasinato,"August 16, 2023","Disis Iulukinfor, Dorian Be, Pippo Francfrog, Sabaku no Darude"
Eruzione a Katane,"September 16, 2023","Branda Gunnarsson, Gnomio Cartonio, Stalag Might"
Ingredienti per Jianico #1,"October 8, 2023","Caravaggio, Fabritius Quaterocula, Grunt Martelcuore"
DreamInn,"November 17, 2023","Arietta Berti, Durso, Grunt Martelcuore, Ken Nataro"
La fuga della principessa,"December 30, 2023","Disis Iulukinfor, Don Tammeo"
Ingredienti per Jianico #2 Stufato di Almiraj,"February 23, 2024","Bohr Ra, Durso, Gario Miordano"
