Name,Data Sessione,Luoghi,Giocatori Coinvolti,NPC coinvolti,Tag,Master,Creature Coinvolte
La fuga della principessa,"December 30, 2023","Eldird, Goldendoor, Vallontano","Disis Iulukinfor, Don Tammeo","Amarinda Damar, Duca Simon Ricchiardo di Fagot, Fran, Hakram, Leona Narendra Pahaton, Lucius III di Disharta, Victor Hamburger",,"Lorenzo ",
DreamInn,"November 17, 2023","Kos, Rogh Liano","Arietta Berti, Durso, Grunt Martelcuore, Ken Nataro",,One-Shot,Lorenzo,
Ingredienti per Jianico #1,"October 8, 2023",Azura,"Caravaggio, Fabritius Quaterocula, Grunt Martelcuore","Chef Jianico, Sithau",One-Shot,Davide,
Eruzione a Katane,"September 16, 2023","Bellavalle, Katane","Branda Gunnarsson, Gnomio Cartonio, Stalag Might",Virginio Cotti,One-Shot,Luca,"Flumph, Terramaestra"
Il neonato incasinato,"August 16, 2023","Kos, Pandosia","Disis Iulukinfor, Dorian Be, Pippo Francfrog, Sabaku no Darude","Arvinio Scarnati, Marpalo Rem, Nicolos, Silvio Berlusconi, Verde Windrider","Dal Vivo, One-Shot",Lorenzo,Naskirophis
I progetti della nave,"June 4, 2023",Valtorria,"Hartley, Kit, Sabaku no Darude","Enzhosor Ent Ino, Gi Mi 1, Monkey D. Sirianni, Sithau",One-Shot,Davide,
Il rapimento di Tholsthon,"March 26, 2023",Azura,"Bohr Ra, Durso, Mortimer","Sheyla, Sithau, Tholsthon",One-Shot,Davide,Abominio delle fogne
